ID_Pedido,ID_Cliente,Fecha_Pedido,Fecha_Envio,ID_Detalle,ID_Producto,Nombre_Producto,Categoria,Subcategoria,Marca,Cantidad,Ventas,Ganancia,Precio_Lista,Costo_Unitario,Mes,Año,Dias_Envio,Venta_Promedio_Unidad,Costo_Total_Estimado
ORD-2023-00001,C0174,2025-03-31,2025-04-04,1,P0082,Papelería Eco 2,Oficina,Papelería,Orion,1,590.86,322.42,590.86,268.44,2025-03,2025,4,590.86,268.44
ORD-2023-00001,C0174,2025-03-31,2025-04-04,2,P0119,Sobres Plus 9,Oficina,Sobres,Andes,7,4341.68,1907.85,620.24,347.69,2025-03,2025,4,620.24,2433.83
ORD-2023-00001,C0174,2025-03-31,2025-04-04,3,P0048,Sillas Plus 8,Muebles,Sillas,Orion,2,1250.86,281.32,625.43,484.77,2025-03,2025,4,625.43,969.54
ORD-2023-00001,C0174,2025-03-31,2025-04-04,4,P0079,Almacenamiento Nova 9,Muebles,Almacenamiento,Alerce,5,244.35,64.85,48.87,35.9,2025-03,2025,4,48.87,179.5
ORD-2023-00002,C0254,2024-03-25,2024-03-25,5,P0087,Papelería Flex 7,Oficina,Papelería,Andes,1,629.31,115.33,740.37,525.57,2024-03,2024,0,629.31,525.57
ORD-2023-00002,C0254,2024-03-25,2024-03-25,6,P0021,Computadores Plus 1,Tecnología,Computadores,Andes,2,1429.92,529.33,794.4,441.41,2024-03,2024,0,714.96,882.82
ORD-2023-00003,C0203,2024-02-20,2024-02-24,7,P0093,Archivadores Flex 3,Oficina,Archivadores,Vector,6,3186.84,1333.8,624.87,291.47,2024-02,2024,4,531.14,1748.8200000000002
ORD-2023-00003,C0203,2024-02-20,2024-02-24,8,P0029,Computadores Eco 9,Tecnología,Computadores,Patagonia,4,787.14,-68.77,281.12,199.48,2024-02,2024,4,196.785,797.92
ORD-2023-00003,C0203,2024-02-20,2024-02-24,9,P0034,Periféricos Flex 4,Tecnología,Periféricos,Orion,3,1007.23,179.29,419.68,275.77,2024-02,2024,4,335.74333333333334,827.31
ORD-2023-00004,C0258,2023-10-29,2023-10-31,10,P0089,Papelería Plus 9,Oficina,Papelería,Vector,8,2247.17,378.49,351.12,231.81,2023-10,2023,2,280.89625,1854.48
ORD-2023-00004,C0258,2023-10-29,2023-10-31,11,P0097,Archivadores Smart 7,Oficina,Archivadores,Altura,6,1121.57,-167.29,267.04,208.99,2023-10,2023,2,186.9283333333333,1253.94
ORD-2023-00004,C0258,2023-10-29,2023-10-31,12,P0062,Libreros Plus 2,Muebles,Libreros,Vector,2,838.22,383.39,465.68,235.47,2023-10,2023,2,419.11,470.94
ORD-2023-00005,C0118,2025-03-30,2025-04-01,13,P0032,Periféricos Eco 2,Tecnología,Periféricos,Vector,5,3617.95,1085.7,723.59,506.45,2025-03,2025,2,723.5899999999999,2532.25
ORD-2023-00005,C0118,2025-03-30,2025-04-01,14,P0010,Accesorios Nova 10,Tecnología,Accesorios,Andes,3,1423.97,-21.81,678.08,497.07,2025-03,2025,2,474.6566666666667,1491.21
ORD-2023-00005,C0118,2025-03-30,2025-04-01,15,P0115,Sobres Pro 5,Oficina,Sobres,Alerce,5,659.35,228.2,131.87,86.23,2025-03,2025,2,131.87,431.15000000000003
ORD-2023-00006,C0256,2025-01-24,2025-01-25,16,P0107,Etiquetas Pro 7,Oficina,Etiquetas,Orion,4,263.33,99.88,77.45,42.46,2025-01,2025,1,65.8325,169.84
ORD-2023-00006,C0256,2025-01-24,2025-01-25,17,P0016,Teléfonos Pro 6,Tecnología,Teléfonos,Orion,2,1091.02,304.33,779.3,382.7,2025-01,2025,1,545.51,765.4
ORD-2023-00007,C0247,2024-01-16,2024-01-20,18,P0097,Archivadores Smart 7,Oficina,Archivadores,Altura,3,801.12,174.15,267.04,208.99,2024-01,2024,4,267.04,626.97
ORD-2023-00007,C0247,2024-01-16,2024-01-20,19,P0062,Libreros Plus 2,Muebles,Libreros,Vector,1,395.83,163.33,465.68,235.47,2024-01,2024,4,395.83,235.47
ORD-2023-00008,C0235,2023-05-04,2023-05-09,20,P0049,Sillas Smart 9,Muebles,Sillas,Orion,2,491.5,72.41,289.12,211.95,2023-05,2023,5,245.75,423.9
ORD-2023-00008,C0235,2023-05-04,2023-05-09,21,P0024,Computadores Nova 4,Tecnología,Computadores,Vector,5,3834.91,1839.18,807.35,402.87,2023-05,2023,5,766.982,2014.35
ORD-2023-00009,C0188,2023-07-08,2023-07-11,22,P0036,Periféricos Nova 6,Tecnología,Periféricos,Patagonia,8,7017.6,3651.12,877.2,420.81,2023-07,2023,3,877.2,3366.48
ORD-2023-00009,C0188,2023-07-08,2023-07-11,23,P0105,Etiquetas Pro 5,Oficina,Etiquetas,Lumen,2,467.06,214.53,259.48,123.11,2023-07,2023,3,233.53,246.22
ORD-2023-00009,C0188,2023-07-08,2023-07-11,24,P0110,Etiquetas Nova 10,Oficina,Etiquetas,Orion,7,401.13,159.54,60.32,34.94,2023-07,2023,3,57.30428571428571,244.57999999999998
ORD-2023-00009,C0188,2023-07-08,2023-07-11,25,P0061,Libreros Plus 1,Muebles,Libreros,Altura,1,875.36,411.61,875.36,463.75,2023-07,2023,3,875.36,463.75
ORD-2023-00010,C0265,2024-06-30,2024-07-05,26,P0089,Papelería Plus 9,Oficina,Papelería,Vector,3,1053.36,357.93,351.12,231.81,2024-06,2024,5,351.11999999999995,695.4300000000001
ORD-2023-00011,C0244,2024-10-06,2024-10-06,27,P0045,Sillas Eco 5,Muebles,Sillas,Lumen,1,427.92,52.49,534.9,391.64,2024-10,2024,0,427.92,391.64
ORD-2023-00011,C0244,2024-10-06,2024-10-06,28,P0074,Almacenamiento Smart 4,Muebles,Almacenamiento,Lumen,3,1113.78,338.7,412.51,260.75,2024-10,2024,0,371.26,782.25
ORD-2023-00011,C0244,2024-10-06,2024-10-06,29,P0100,Archivadores Smart 10,Oficina,Archivadores,Andes,8,420.96,114.48,52.62,38.31,2024-10,2024,0,52.62,306.48
ORD-2023-00012,C0238,2024-10-08,2024-10-09,30,P0109,Etiquetas Smart 9,Oficina,Etiquetas,Patagonia,2,1527.58,408.94,763.79,559.32,2024-10,2024,1,763.79,1118.64
ORD-2023-00012,C0238,2024-10-08,2024-10-09,31,P0041,Sillas Eco 1,Muebles,Sillas,Vector,6,834.41,223.18,154.52,100.57,2024-10,2024,1,139.06833333333333,603.42
ORD-2023-00012,C0238,2024-10-08,2024-10-09,32,P0035,Periféricos Nova 5,Tecnología,Periféricos,Orion,8,5200.03,798.96,764.71,538.76,2024-10,2024,1,650.00375,4310.08
ORD-2023-00012,C0238,2024-10-08,2024-10-09,33,P0053,Mesas Eco 3,Muebles,Mesas,Alerce,3,1112.13,396.0,370.71,238.71,2024-10,2024,1,370.71000000000004,716.13
ORD-2023-00013,C0121,2024-11-08,2024-11-10,34,P0051,Mesas Smart 1,Muebles,Mesas,Orion,2,189.76,72.52,94.88,58.62,2024-11,2024,2,94.88,117.24
ORD-2023-00013,C0121,2024-11-08,2024-11-10,35,P0071,Almacenamiento Flex 1,Muebles,Almacenamiento,Patagonia,1,888.52,211.03,888.52,677.49,2024-11,2024,2,888.52,677.49
ORD-2023-00014,C0054,2023-09-26,2023-09-30,36,P0057,Mesas Smart 7,Muebles,Mesas,Patagonia,3,1547.43,571.17,515.81,325.42,2023-09,2023,4,515.8100000000001,976.26
ORD-2023-00014,C0054,2023-09-26,2023-09-30,37,P0004,Accesorios Eco 4,Tecnología,Accesorios,Orion,1,23.9,3.48,28.12,19.81,2023-09,2023,4,23.9,19.81
ORD-2023-00014,C0054,2023-09-26,2023-09-30,38,P0111,Sobres Flex 1,Oficina,Sobres,Lumen,8,2883.22,251.97,514.86,299.56,2023-09,2023,4,360.4025,2396.48
